date,neo_id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,is_sentry_object,close_approach_date,close_approach_date_full,relative_velocity_kph,relative_velocity_kps,miss_distance_km,miss_distance_lunar,miss_distance_au,orbiting_body,nasa_jpl_url
2020-06-30,3552523,3552523,(2010 WS),24.9,0.0278326768,0.0622357573,False,False,2020-06-30,2020-Jun-30 07:54,47808.9707256932,13.280269646,56177148.053300114,146.0776854158,0.3755210422,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3552523
2020-06-30,3752723,3752723,(2016 JN),23.4,0.0555334912,0.1241766613,False,False,2020-06-30,2020-Jun-30 06:20,21932.5137006145,6.0923649168,16582203.859991903,43.1187777041,0.1108451869,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3752723
2020-06-30,2817368,2817368,817368 (2012 KF47),21.07,0.1623883902,0.3631114793,False,False,2020-06-30,2020-Jun-30 06:01,43216.5034105909,12.0045842807,25272929.96851061,65.717311067,0.168939103,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2817368
2020-06-30,3375696,3375696,(2007 HX82),20.6,0.2016299194,0.4508582062,False,False,2020-06-30,2020-Jun-30 14:12,19885.1151943097,5.5236431095,46213946.501703897,120.1703285559,0.3089211531,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3375696
2020-06-30,3091895,3091895,(2001 QE34),19.09,0.4041615334,0.9037326626,False,False,2020-06-30,2020-Jun-30 22:16,63644.2550000104,17.6789597222,53894272.140476904,140.1415131288,0.3602609592,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3091895
2020-07-01,3986677,3986677,(2020 AH3),24.3,0.0366906138,0.0820427065,False,False,2020-07-01,2020-Jul-01 20:19,56054.108672132,15.5705857423,24956369.027439306,64.8941562582,0.1668230238,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3986677
2020-07-01,3605885,3605885,(2012 MO3),20.89,0.1764229081,0.3944936153,False,False,2020-07-01,2020-Jul-01 20:40,100664.5240763266,27.962367799,69977861.901581429,181.9637423963,0.4677731167,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3605885
2020-07-01,3985565,3985565,(2020 AP2),24.8,0.0291443905,0.0651688382,False,False,2020-07-01,2020-Jul-01 23:53,53505.1122251778,14.8625311737,57530716.836556809,149.5973762823,0.3845690907,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3985565
2020-07-01,3837602,3837602,(2019 AC3),27.3,0.0092162655,0.0206081961,False,False,2020-07-01,2020-Jul-01 11:09,12171.7230860091,3.3810341906,4033693.701740777,10.4888314919,0.0269635771,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837602
2020-07-01,3774689,3774689,(2017 KG3),24.7,0.0305179233,0.0682401509,False,False,2020-07-01,2020-Jul-01 13:57,36860.0220141505,10.2388950039,67096284.691569449,174.4707644903,0.4485109627,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3774689
